pot_id,pot_label,short_label,photo_order,photo_group,photo_position,blocked_order,photo_group_label,randomised_mapping,mapping_source,temperature_code,bench,temperature_regime,replicate,variety_code,variety_name,disease_code,disease_class,fertiliser_code,fertiliser_level,watering_rule,inoculation_stage,notes
POC-049,53_POC-049_C_Ma_L_R1,53_POC-049,49,4,1,53,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-050,51_POC-050_C_Pl_L_R1,51_POC-050,50,4,2,51,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V2,RGT Planet,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-051,56_POC-051_C_Ro_L_R1,56_POC-051,51,4,3,56,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V3,Rosalind,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-052,52_POC-052_C_Gr_L_R1,52_POC-052,52,4,4,52,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V4,Granite CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-053,63_POC-053_C_Ma_L_R2,63_POC-053,53,4,5,63,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V1,Maximus CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-054,54_POC-054_C_Pl_L_R2,54_POC-054,54,4,6,54,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V2,RGT Planet,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-055,61_POC-055_C_Ro_L_R2,61_POC-055,55,4,7,61,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V3,Rosalind,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-056,49_POC-056_C_Gr_L_R2,49_POC-056,56,4,8,49,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V4,Granite CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-057,60_POC-057_C_Ma_L_R3,60_POC-057,57,4,9,60,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V1,Maximus CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-058,64_POC-058_C_Pl_L_R3,64_POC-058,58,4,10,64,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V2,RGT Planet,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
